transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar
0x235f9cc7b0961fed550afa58f774e5fc239fe8dd0123070fa8109e887763304e,12,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,1902107,216456,,,1,296268622676,,,,
0x8af660c09d8257a5a55d1d1d7006bbe1dea01677dc451a68b255a5a835936d8a,13,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,2078664,176557,,,1,293194309268,,,,
0xc8a9953c21bc924087c7daa9ed9855143550a857f4d9d89b4b8ccf7c4e209c0c,14,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,2255413,176749,,,1,293194309268,,,,
0x6d7da9b45f7d62d76fc3c46ed921e4b9072e6a072028ec1333da137a56829834,15,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,2431936,176523,,,1,293194309268,,,,
0xf2662dd650be6836b76ae1dd8ea2e85d2a4c1e4c3450bcbbe1489de8b9d1cd77,16,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,2529093,97157,,,1,292820652994,,,,
0x22d995739d1aa906718c5560bf91d8a90c2362c904ae5ed3258e644198071c23,17,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,2705796,176703,,,1,289671286330,,,,
0x6c61bc3394b5e627b639b8ecd84a4fe98de25af775a9a9687f7e08c44bed7328,18,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,2878156,172360,,,1,288278412190,,,,
0x8e388efbce5f66639fd8c79ae08c0c8b42df66e26453d83353d5c59b025a6d2a,19,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,2931495,53339,,,1,288278412190,,,,
0xaae610fc6197d928a457d952f06344120e92bcef44f5a56a034dc9f0c9c3ce1a,20,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,3197521,266026,,,1,288278412190,,,,
0xd3098751ec9368e9d557979ad0bdd125e9de2434e769d2a7f5bf90d9a669f1c3,21,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,3356091,158570,,,1,288268412190,,,,
0x4890fa126500b07d6d1d717216cf3f4f852834d6910672194af72c5a96c502e7,22,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,3677998,321907,,,1,288268412190,,,,
0xd345065040a86b411e3246121c5feb28d95ff0b735ec02d0bba0cd7f981b4d40,23,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,3729770,51772,,,1,288268412190,,,,
0x72413a777ce2d5f4dd1377cd88bf04d0cf3048a1033dc2d473ba1a927476ff59,24,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,4051411,321641,,,1,288268412190,,,,
0x09e2f93a484ae3bf0a24ed9390999e9dfb50fd8c2dc422702bade071d416874f,25,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,4157279,105868,,,1,282653432569,,,,
0x90054c8f6ac5ae74979bdb10080e83555fd1b6840aa724015c4911c887f4272d,26,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,4256195,98916,,,1,270205180582,,,,
0xf76d24258097be5af16c4199e4396735c7e9d83160fac6882580165032e18a3d,27,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,4333177,76982,,,1,267757314345,,,,
0x5f74e33f25a5b3b5f0c40d60f15b496f0fb2ae16e512f49301de71ecf5c7408a,28,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,4410159,76982,,,1,267757314345,,,,
0xc4ac95a47372df98e1c5ac532eed51efe27032e41f186184b8ff1ffec9c83a76,29,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,4681584,271425,,,1,267757314345,,,,
0x2622174b453774dfd02f126212cb68d0d30f4ef5380a1a10e93171184af85c80,30,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,4856628,175044,,,1,267081503937,,,,
0x26a201f2c7a0471fd4ab0f7f5c6bf11ae49da4bf6b4c77a45f7c31a367777ee4,31,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,5033125,176497,,,1,267081503937,,,,
0x6eb9add18c3696b57e5061a7b855b5a58270a3bd104020808c6b5d5dca21f750,32,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,5125329,92204,,,1,265364381954,,,,
0x681e0399f33b7145c30f8e1cef9131138b7c58a45ded4c95e99071beca04fe76,33,0x7aac6858705bb7d74c05a3b5278504a58e2fc598975e979ac49085251119a2f4,52395713,5175271,49942,,,0,264727020222,,,,
